フリッツ・ハーバー（Fritz Haber, 1868年12月9日 - 1934年1月29日）は、ドイツ（現在のポーランド・ヴロツワフ）出身の物理化学者、電気化学者。ユダヤ人であるが、洗礼を受けユダヤ教から改宗したプロテスタントである。空気中の窒素からアンモニアを合成するハーバー・ボッシュ法で知られる。第一次世界大戦時に塩素を始めとする各種毒ガス使用の指導的立場にあったことから「化学兵器の父」と呼ばれることもある。
173
97,1
98,1
101,1
102,1
104,1
105,1
114,2
116,1
122,1
12354,4
12363,3
12364,1
12369,1
12371,2
12375,1
12377,2
12383,2
12387,1
12391,3
12392,4
12395,2
12398,5
12399,1
12400,1
12417,1
12418,1
12425,4
12427,7
12428,2
12434,3
12450,2
12452,1
12460,1
12471,1
12473,2
12479,1
12480,2
12483,2
12484,3
12486,1
12488,1
12489,2
12491,1
12495,2
12496,2
12501,2
12503,1
12508,1
12509,1
12514,1
12516,2
12517,1
12518,2
12521,1
12522,1
12525,2
12527,1
12531,3
12532,1
12540,5
19968,1
19990,1
20013,1
20154,1
20351,1
20853,1
20986,1
21270,3
21463,1
21508,1
21512,1
21628,1
22120,1
22312,1
22580,1
22633,1
22823,1
22987,1
23398,3
23447,1
23566,1
24180,2
25104,1
25126,1
25351,1
25913,1
25945,1
26085,2
26178,1
26376,2
27425,1
27602,1
27671,2
27861,1
27927,1
29238,1
29289,1
29694,1
29702,1
29992,1
30028,1
30340,1
30693,1
31036,1
31278,1
31354,1
31378,1
31435,1
31532,1
32032,2
32773,2
36523,1
38651,1
